,x,y,z,r,g,b,inlinear_idx
0,-1.2278368143899945,-0.7013890424408289,4.929313636320232,132.0,137.0,132.0,0.0
1,-1.255442059701781,-0.6909548238426731,4.92045926367263,144.0,159.0,149.0,2.0
2,-1.4034165910167322,-0.45522415395478716,5.460438030472284,134.0,145.0,143.0,3.0
3,-3.8282314464861766,-2.279018874990043,12.516225137506366,151.0,159.0,143.0,6.0
4,-1.2888072687692842,-0.6725425305658809,5.0239852551090065,148.0,156.0,151.0,7.0
5,-1.2290947761611444,-0.49471502287949154,4.941254504687579,104.0,80.0,86.0,8.0
6,-1.32125202321151,-0.7938939098723915,5.3038056207065205,147.0,155.0,150.0,10.0
7,-1.4489423923058355,-0.3328112754188511,5.609019396224096,57.0,52.0,72.0,13.0
8,-1.2820563870775745,-0.5550099960168626,4.970305682553825,110.0,124.0,116.0,14.0
9,-2.754707661882588,-1.9446312021779155,9.1797882445391,186.0,181.0,141.0,15.0
10,-2.650164761867453,-1.8477015125834266,9.03419775216928,149.0,123.0,97.0,18.0
11,-3.348464103923364,-2.0430427650152163,10.978930104474555,58.0,52.0,53.0,19.0
12,-2.6549762510810018,-1.9232951252128545,9.556713191159835,83.0,68.0,64.0,21.0
13,-5.87449488081243,-3.499089066886555,20.127136693338784,47.0,49.0,47.0,29.0
14,-2.8786400134232704,-0.5267134125506956,8.43980494475293,92.0,103.0,108.0,30.0
15,-2.6549762510810018,-1.9232951252128545,9.556713191159835,83.0,68.0,64.0,32.0
16,-3.969684675000774,-2.3907710127750983,13.290903408836135,150.0,161.0,151.0,33.0
17,-1.9800037730565576,-2.0080478237048642,7.897634666342793,146.0,146.0,123.0,34.0
18,-3.348464103923364,-2.0430427650152163,10.978930104474555,58.0,52.0,53.0,35.0
19,-1.6620486278634525,-1.0165946612218812,6.070144627460169,93.0,105.0,99.0,37.0
20,-2.925107819998534,-1.829496704582413,9.686236572569094,58.0,52.0,48.0,38.0
21,-1.355196858008332,-0.4141677819017955,5.398467787330593,114.0,121.0,118.0,40.0
22,-1.4489423923058355,-0.3328112754188511,5.609019396224096,57.0,52.0,72.0,41.0
23,-5.87449488081243,-3.499089066886555,20.127136693338784,47.0,49.0,47.0,43.0
24,-3.2621177932576266,-2.008458826819079,11.710952539439239,117.0,140.0,137.0,46.0
25,-3.2763854168682265,-2.0608122534875624,11.844689723798517,106.0,116.0,113.0,47.0
26,-2.6578231523798124,-1.968173667830845,9.21696522868071,176.0,145.0,108.0,50.0
27,-5.628207005664779,-3.240709555862768,18.55783456267247,47.0,57.0,57.0,51.0
28,-2.124363959289153,-1.9347083412011252,8.405843299670488,135.0,139.0,130.0,53.0
29,-0.6997712594573169,-0.40047974989547364,2.531418602913153,83.0,103.0,99.0,54.0
30,-2.5943427248027033,-1.9563012457929114,9.261030664878954,168.0,136.0,110.0,57.0
31,-2.700469619750676,-0.5244262193461382,8.082258029136506,41.0,38.0,50.0,58.0
32,-2.6549762510810018,-1.9232951252128545,9.556713191159835,83.0,68.0,64.0,60.0
33,-2.4867434700561484,-0.5600949754295237,7.750687148176781,122.0,106.0,108.0,61.0
34,-1.4135415884962215,-0.4682202558572666,5.439125086594807,79.0,85.0,83.0,63.0
35,-7.930237809560212,-1.921188748682988,20.036751552163558,119.0,136.0,156.0,64.0
36,-2.828456960836073,-0.5339576073452929,8.329522769571199,34.0,38.0,62.0,65.0
37,-1.7762700325481977,-0.40427876299030413,6.397988668574027,36.0,36.0,47.0,66.0
38,-2.023593593023407,-1.975975597300543,8.05316124323161,132.0,138.0,119.0,67.0
39,-0.8497723112086933,-0.4023184168995639,3.253708625336131,120.0,107.0,123.0,68.0
40,-4.534494895830885,-2.8130648520850725,16.08440715823348,106.0,119.0,114.0,70.0
41,-9.916220817235608,-2.730591415177654,25.17344558455127,181.0,188.0,173.0,71.0
42,-11.181116815178196,-6.620474559505635,38.5140837260415,124.0,141.0,144.0,72.0
43,-2.783128439643873,-2.074340739783638,9.479687236383675,211.0,177.0,146.0,73.0
44,-2.738232906182408,-0.5383039003904952,8.12406607994469,43.0,38.0,51.0,74.0
45,-8.805609162146776,-2.599014022647509,22.95715041258789,161.0,170.0,179.0,76.0
46,-2.155982148450685,-0.39981656667933185,7.156079407767616,65.0,87.0,91.0,77.0
47,-2.9150367716056684,-1.833892202287916,9.597469836992959,148.0,121.0,96.0,78.0
48,-4.685728133927875,-2.7043404280213625,15.316408622852613,150.0,160.0,151.0,79.0
49,-2.2580280033634157,-1.7961486961834068,8.3531814854536,184.0,147.0,125.0,82.0
50,-3.3444891316636696,-0.7720930197454396,9.772397142292188,78.0,67.0,53.0,83.0
51,-1.6602354280028873,-0.3907467376099967,6.106455605505221,36.0,38.0,49.0,84.0
52,-2.7372993228790157,-0.5039673759468122,8.201946103073814,36.0,40.0,57.0,85.0
53,-2.5519697160920978,-1.805006458807503,9.495992712121561,85.0,55.0,44.0,88.0
54,-1.340441974358252,-0.3871706799295261,5.36018390380509,27.0,27.0,25.0,90.0
55,-2.196407902936541,-1.7684288156182917,8.150681494608394,167.0,119.0,87.0,91.0
56,-1.4851781726975541,-0.4483652892360122,5.73856435620289,143.0,154.0,154.0,93.0
57,-2.833260366493517,-0.5537891620292614,8.345439054544368,115.0,101.0,91.0,94.0
58,-2.6549762510810018,-1.9232951252128545,9.556713191159835,83.0,68.0,64.0,96.0
59,-4.685728133927875,-2.7043404280213625,15.316408622852613,150.0,160.0,151.0,97.0
60,-5.9238199507744715,-1.3351680281144063,15.533281934145371,10.0,9.0,15.0,98.0
61,-3.5215612427585254,-0.7926273531009419,9.955957716779068,212.0,211.0,192.0,100.0
62,-1.778373948075608,-0.39033086989098514,6.3720887930806684,90.0,102.0,100.0,105.0
63,-1.82098907024092,-0.4350951241160903,6.6242558230472905,49.0,46.0,46.0,106.0
64,-8.910974097144049,-2.294530819280538,22.551329106546806,193.0,197.0,176.0,107.0
65,-9.984408852748967,-5.644168782395719,32.999641831561604,47.0,55.0,53.0,109.0
66,-1.7484542069826599,-0.4348301152313841,6.285731752513458,60.0,51.0,61.0,111.0
67,-17.19619186006003,-5.593588935157267,44.699802068355325,175.0,232.0,255.0,114.0
68,-2.700469619750676,-0.5244262193461382,8.082258029136506,41.0,38.0,50.0,115.0
69,-1.6810853382651825,-0.42550053763506923,6.121470371750435,86.0,68.0,72.0,116.0
70,-1.8639079886080872,-0.4331660000628775,6.595001407179079,52.0,48.0,65.0,117.0
71,-2.2340597366462815,-1.7685316484541809,8.318259877455871,64.0,38.0,23.0,120.0
72,-1.82098907024092,-0.4350951241160903,6.6242558230472905,49.0,46.0,46.0,121.0
73,-1.450339296866838,-0.5420573135689822,5.490106804020428,181.0,188.0,164.0,122.0
74,-1.7054300568253085,-0.40900771292819704,6.202536540916883,50.0,48.0,55.0,123.0
75,-7.979524911076653,-2.033947603023073,20.276055179972886,199.0,206.0,188.0,125.0
76,-4.38663978423345,-2.6958680736974077,14.384704961490327,89.0,67.0,51.0,128.0
77,-3.3198649711732875,-2.0358277402198364,10.726950012580408,157.0,129.0,102.0,130.0
78,-11.181116815178196,-6.620474559505635,38.5140837260415,124.0,141.0,144.0,132.0
79,-1.3438997491086615,-0.39718524339874683,5.345722101418186,63.0,95.0,106.0,133.0
80,-2.9150367716056684,-1.833892202287916,9.597469836992959,148.0,121.0,96.0,138.0
81,-1.6773950831123752,-0.42411992210046684,6.105798105758168,86.0,68.0,72.0,141.0
82,-1.2980686605100604,-0.485442817737487,5.165428878689714,62.0,69.0,57.0,143.0
83,-3.688554368635064,-2.6338841675334477,11.978873584824631,226.0,226.0,199.0,144.0
84,-2.151652066569536,-0.4974412049852367,7.116128807492957,117.0,121.0,84.0,147.0
