Matrix_1_1,Matrix_1_2,Matrix_1_3,Matrix_1_4,Matrix_2_1,Matrix_2_2,Matrix_2_3,Matrix_2_4,Matrix_3_1,Matrix_3_2,Matrix_3_3,Matrix_3_4
0.999942531,0.005526128,-0.009186739,0.057064156,-0.006054971,0.998264836,-0.058571792,0.389079291,0.008847123,0.058624051,0.998240927,0.114051355
0.997877245,0.037933483,-0.052934431,0.920681966,-0.039839097,0.998578094,-0.035420862,0.358109878,0.051515527,0.037454532,0.997969593,0.517820877
0.979229187,-0.151139598,-0.135155545,1.784299776,0.202462747,0.693014273,0.691910437,0.327140465,-0.010910343,-0.704902858,0.709219941,0.9215904
0.977497176,-0.202391132,-0.059473536,2.647917585,0.203970323,0.834904285,0.511205381,0.296171052,-0.053808726,-0.511832652,0.857398365,1.325359922
0.792338626,0.137084311,-0.594480776,6.477737253,-0.123905811,0.990278758,0.063208638,-0.775855557,0.597366597,0.023576977,0.801621653,1.747937036
