,x,y,z,r,g,b,inlinear_idx
0,0.5320054508568003,1.0551883364701522,4.832679436005274,187.0,188.0,174.0,3.0
1,1.310279531126181,1.2424815427096825,4.915694841294633,109.0,133.0,137.0,7.0
2,1.3836650869511704,1.3023980966120314,4.8956190599548535,70.0,65.0,105.0,8.0
3,1.293333408907228,1.197272949333295,4.911839754553448,152.0,164.0,162.0,9.0
4,1.2477240308372017,1.1651024484075583,4.897744265932055,113.0,138.0,142.0,10.0
5,1.1659720900877308,1.007829388201118,4.965520518822583,66.0,76.0,85.0,13.0
6,0.5192480995056897,1.0635830655820773,4.84115627998775,182.0,179.0,170.0,22.0
7,1.4834890698474146,1.3124826765198447,4.92562917411812,151.0,156.0,160.0,23.0
8,0.8511238700875605,1.1917362633270432,4.815963206741912,91.0,114.0,104.0,33.0
9,1.2409710637331415,1.155506500270683,4.8949937083066,120.0,128.0,130.0,35.0
10,0.6319592533533309,0.878653357687763,4.896215753674629,187.0,186.0,165.0,40.0
11,1.1892473558911194,0.9866015114427582,4.998027910855266,197.0,191.0,169.0,41.0
12,0.7978531879840557,1.211885851037903,4.807188625089662,129.0,147.0,151.0,44.0
13,1.3684122066336628,1.268664049664343,4.910659051579669,71.0,90.0,105.0,45.0
14,0.6543548721863001,1.1655762904645248,4.835633048835232,137.0,117.0,119.0,46.0
15,0.573812254374734,1.043029342079068,4.842519632508459,202.0,204.0,190.0,47.0
16,0.9662447757251398,1.333284788887985,4.809694428975402,96.0,74.0,110.0,50.0
17,0.5853316684797579,0.8579140802186256,4.867756213107844,158.0,132.0,95.0,52.0
18,1.5394435145159795,1.3074644698976843,4.934261171073403,130.0,130.0,138.0,59.0
19,0.7213082072209288,1.0729811135579028,4.912233359637005,169.0,151.0,111.0,61.0
20,1.0788208634666623,1.2986176918392778,4.863551824521769,74.0,77.0,94.0,68.0
21,1.5729724250488528,1.3005067472815077,4.940572442585247,133.0,137.0,140.0,74.0
22,0.6885464206040323,1.0199188607612026,4.888712373579467,174.0,168.0,154.0,75.0
23,1.0011235010307655,1.301329486170271,4.838134228736174,72.0,71.0,79.0,80.0
24,1.0027605490857316,1.3303845367798395,4.821834945144951,88.0,76.0,116.0,81.0
25,1.4814143768244932,1.278599714648605,4.9198000224133285,145.0,122.0,128.0,84.0
26,1.0949741676595328,1.2293754386198208,4.866995871592987,164.0,180.0,177.0,100.0
27,1.7557060802180344,1.146816049564913,4.985864223095133,118.0,132.0,141.0,102.0
28,0.7630891638442271,1.2165865243217269,4.794919991466861,142.0,162.0,161.0,113.0
29,1.1079585882796656,1.1405315663180124,4.854840940459367,105.0,105.0,131.0,128.0
30,1.814245636958918,1.2876682103547636,4.985145043256988,90.0,110.0,121.0,133.0
